Member_ID,Gender,Age,Days_Since_Registration,Age_Group,group_kainin,Transaction_ID,Transaction_Date,Product_ID,Store_ID,Quantity,Amount,Amount_flag,Quantity_flag,Total2,Amount_pct,Quantity_label,Female,Male,Amount_Stead
10,Female,48,1317,31-50,2年〜,51,2024-05-07 02:32:00,31,6,4,8520,1,1,25440,4,high,True,False,1.145670707053632
10,Female,48,1317,31-50,2年〜,328,2024-06-09 22:24:00,10,19,4,5540,1,1,25440,4,high,True,False,0.07251034839462782
10,Female,48,1317,31-50,2年〜,391,2024-06-17 15:03:00,49,17,3,3980,1,1,25440,4,Medium,True,False,-0.4892782957355892
10,Female,48,1317,31-50,2年〜,461,2024-06-26 04:13:00,45,2,3,7400,1,1,25440,4,Medium,True,False,0.7423352702421943
11,Male,26,566,-30,1年〜2年,84,2024-05-11 03:16:00,15,4,1,7430,1,0,15350,2,Low,False,True,0.7531388980139292
11,Male,26,566,-30,1年〜2年,390,2024-06-17 12:07:00,19,6,2,7920,1,0,15350,2,Low,False,True,0.9295981516189332
12,Female,66,1096,66-,2年〜,150,2024-05-19 04:42:00,28,13,1,8210,1,0,32230,4,Low,True,False,1.0340332200790376
12,Female,66,1096,66-,2年〜,189,2024-05-23 23:00:00,11,1,2,9920,1,0,32230,4,Low,True,False,1.6498400030679292
12,Female,66,1096,66-,2年〜,227,2024-05-28 14:23:00,3,17,2,5090,1,0,32230,4,Low,True,False,-0.0895440681813963
12,Female,66,1096,66-,2年〜,471,2024-06-27 09:32:00,28,3,3,4520,1,1,32230,4,Medium,True,False,-0.2948129958443602
12,Female,66,1096,66-,2年〜,725,2024-07-28 09:59:00,22,18,2,4490,1,0,32230,4,Low,True,False,-0.30561662361609515
13,Male,41,1855,31-50,2年〜,290,2024-06-05 07:02:00,2,2,3,4980,1,1,8730,1,Medium,False,True,-0.1291573700110911
13,Male,41,1855,31-50,2年〜,466,2024-06-26 18:52:00,8,16,2,3750,1,0,8730,1,Low,False,True,-0.5721061086522237
14,Male,33,928,31-50,2年〜,202,2024-05-25 13:07:00,48,7,4,7750,1,1,25040,3,high,False,True,0.8683775942457685
14,Male,33,928,31-50,2年〜,277,2024-06-03 16:56:00,11,11,3,8580,1,1,25040,3,Medium,False,True,1.167277962597102
14,Male,33,928,31-50,2年〜,473,2024-06-27 15:23:00,44,3,4,3480,1,1,25040,3,high,False,True,-0.6693387585978382
14,Male,33,928,31-50,2年〜,503,2024-07-01 07:19:00,47,11,1,5230,1,0,25040,3,Low,False,True,-0.03912713857996658
15,Female,47,1450,31-50,2年〜,879,2024-08-16 05:21:00,21,2,1,9500,1,0,9500,1,Low,True,False,1.4985892142636401
16,Male,71,43,66-,〜1年,726,2024-07-28 12:55:00,37,17,3,3510,1,1,11220,2,Medium,False,True,-0.6585351308261033
16,Male,71,43,66-,〜1年,859,2024-08-13 18:44:00,36,13,4,7710,1,1,11220,2,high,False,True,0.8539727572167886
17,Male,64,1783,51-65,2年〜,320,2024-06-08 22:58:00,19,16,2,5560,1,0,20190,3,Low,False,True,0.07971276690911777
17,Male,64,1783,51-65,2年〜,350,2024-06-12 14:53:00,34,17,1,2380,1,0,20190,3,Low,False,True,-1.0654717768947861
17,Male,64,1783,51-65,2年〜,638,2024-07-17 19:00:00,13,14,1,5990,1,0,20190,3,Low,False,True,0.23456476497065196
17,Male,64,1783,51-65,2年〜,931,2024-08-22 13:45:00,12,11,2,6260,1,0,20190,3,Low,False,True,0.3317974149162664
18,Male,69,941,66-,2年〜,411,2024-06-20 01:40:00,33,11,4,9870,1,1,9870,2,high,False,True,1.6318339567817044
19,Female,71,386,66-,1年〜2年,64,2024-05-08 16:38:00,31,2,3,5640,1,1,20350,3,Medium,True,False,0.10852244096707762
19,Female,71,386,66-,1年〜2年,100,2024-05-13 02:09:00,47,13,2,6780,1,0,20350,3,Low,True,False,0.5190602962930054
19,Female,71,386,66-,1年〜2年,443,2024-06-23 23:28:00,41,8,2,530,0,0,20350,3,Low,True,False,-1.7316954894851075
19,Female,71,386,66-,1年〜2年,524,2024-07-03 20:52:00,42,18,4,740,0,1,20350,3,high,True,False,-1.656070095082963
19,Female,71,386,66-,1年〜2年,946,2024-08-24 09:43:00,19,15,1,6660,1,0,20350,3,Low,True,False,0.47584578520606563
20,Male,76,978,66-,2年〜,234,2024-05-29 10:54:00,41,9,2,9180,1,0,34020,4,Low,False,True,1.3833505180318009
20,Male,76,978,66-,2年〜,475,2024-06-27 21:15:00,21,16,4,3580,1,1,34020,4,high,False,True,-0.6333266660253883
20,Male,76,978,66-,2年〜,486,2024-06-29 05:30:00,44,14,4,4810,1,1,34020,4,high,False,True,-0.19037792738425577
20,Male,76,978,66-,2年〜,497,2024-06-30 13:44:00,36,19,4,9960,1,1,34020,4,high,False,True,1.6642448400969092
20,Male,76,978,66-,2年〜,664,2024-07-20 23:12:00,35,7,3,6490,1,1,34020,4,Medium,False,True,0.41462522783290096
21,Female,58,323,51-65,〜1年,1,2024-05-01 00:00:00,25,12,3,5820,1,1,28200,4,Medium,True,False,0.17334420759748728
21,Female,58,323,51-65,〜1年,315,2024-06-08 08:18:00,41,15,3,1160,0,1,28200,4,Medium,True,False,-1.5048193062786737
21,Female,58,323,51-65,〜1年,602,2024-07-13 09:29:00,11,11,2,10000,1,0,28200,4,Low,True,False,1.6786496771258892
21,Female,58,323,51-65,〜1年,617,2024-07-15 05:27:00,5,5,3,4950,1,1,28200,4,Medium,True,False,-0.13996099778282603
21,Female,58,323,51-65,〜1年,730,2024-07-29 00:38:00,44,17,2,670,0,0,28200,4,Low,True,False,-1.6812785598836777
21,Female,58,323,51-65,〜1年,795,2024-08-05 23:09:00,40,7,1,1130,0,0,28200,4,Low,True,False,-1.5156229340504086
21,Female,58,323,51-65,〜1年,884,2024-08-16 20:00:00,42,16,4,4470,1,1,28200,4,high,True,False,-0.3128190421305851
22,Male,63,741,51-65,2年〜,425,2024-06-21 18:42:00,12,3,3,2630,1,1,11170,2,Medium,False,True,-0.9754415454636616
22,Male,63,741,51-65,2年〜,645,2024-07-18 15:31:00,8,12,3,8540,1,1,11170,2,Medium,False,True,1.152873125568122
23,Male,51,1891,51-65,2年〜,444,2024-06-24 02:24:00,13,1,2,9340,1,0,9340,1,Low,False,True,1.4409698661477204
24,Female,26,1407,-30,2年〜,487,2024-06-29 08:25:00,47,18,1,7000,1,0,12060,2,Low,True,False,0.598286899952395
24,Female,26,1407,-30,2年〜,510,2024-07-02 03:50:00,25,5,4,5060,1,1,12060,2,high,True,False,-0.10034769595313126
25,Female,42,1616,31-50,2年〜,211,2024-05-26 15:29:00,8,1,4,9390,1,1,17120,3,high,True,False,1.4589759124339454
25,Female,42,1616,31-50,2年〜,220,2024-05-27 17:52:00,16,14,2,670,0,0,17120,3,Low,True,False,-1.6812785598836777
25,Female,42,1616,31-50,2年〜,223,2024-05-28 02:40:00,22,10,3,6350,1,1,17120,3,Medium,True,False,0.3642082982314713
25,Female,42,1616,31-50,2年〜,741,2024-07-30 08:53:00,29,8,4,710,0,1,17120,3,high,True,False,-1.666873722854698
26,Male,21,885,-30,2年〜,48,2024-05-06 17:45:00,35,16,3,9910,1,1,22510,3,Medium,False,True,1.6462387938106844
26,Male,21,885,-30,2年〜,679,2024-07-22 19:10:00,44,3,3,3670,1,1,22510,3,Medium,False,True,-0.6009157827101835
26,Male,21,885,-30,2年〜,881,2024-08-16 11:13:00,49,20,4,8930,1,1,22510,3,high,False,True,1.2933202866006763
27,Male,27,440,-30,1年〜2年,15,2024-05-02 17:01:00,44,15,1,3340,1,0,5970,1,Low,False,True,-0.7197556881992679
27,Male,27,440,-30,1年〜2年,120,2024-05-15 12:46:00,45,10,4,2630,1,1,5970,1,high,False,True,-0.9754415454636616
28,Female,40,1572,31-50,2年〜,358,2024-06-13 14:20:00,31,10,2,7530,1,0,23420,3,Low,True,False,0.7891509905863789
28,Female,40,1572,31-50,2年〜,633,2024-07-17 04:20:00,22,4,3,7780,1,1,23420,3,Medium,True,False,0.8791812220175035
28,Female,40,1572,31-50,2年〜,890,2024-08-17 13:35:00,11,17,4,6090,1,1,23420,3,high,True,False,0.27057685754310173
28,Female,40,1572,31-50,2年〜,983,2024-08-28 22:10:00,2,5,2,2020,1,0,23420,3,Low,True,False,-1.1951153101556053
29,Male,60,415,51-65,1年〜2年,326,2024-06-09 16:33:00,32,7,4,8980,1,1,11420,2,high,False,True,1.3113263328869011
29,Male,60,415,51-65,1年〜2年,429,2024-06-22 06:26:00,37,13,3,2440,1,1,11420,2,Medium,False,True,-1.0438645213513162
30,Male,51,334,51-65,〜1年,155,2024-05-19 19:21:00,19,1,2,4610,1,0,15610,2,Low,False,True,-0.2624021125291554
30,Male,51,334,51-65,〜1年,445,2024-06-24 05:20:00,18,5,4,1550,0,1,15610,2,high,False,True,-1.3643721452461195
30,Male,51,334,51-65,〜1年,521,2024-07-03 12:05:00,28,11,4,6280,1,1,15610,2,high,False,True,0.3389998334307564
30,Male,51,334,51-65,〜1年,816,2024-08-08 12:42:00,27,19,3,3170,1,1,15610,2,Medium,False,True,-0.7809762455724326
31,Male,31,1479,31-50,2年〜,233,2024-05-29 07:58:00,2,7,2,7030,1,0,10720,2,Low,False,True,0.60909052772413
31,Male,31,1479,31-50,2年〜,580,2024-07-10 17:00:00,32,13,3,3690,1,1,10720,2,Medium,False,True,-0.5937133641956936
32,Female,42,478,31-50,1年〜2年,405,2024-06-19 08:05:00,23,8,4,7360,1,1,16610,2,high,True,False,0.7279304332132143
32,Female,42,478,31-50,1年〜2年,662,2024-07-20 17:20:00,16,15,3,4090,1,1,16610,2,Medium,True,False,-0.4496649939058944
32,Female,42,478,31-50,1年〜2年,723,2024-07-28 04:07:00,48,13,3,5160,1,1,16610,2,Medium,True,False,-0.06433560338068145
34,Female,50,249,31-50,〜1年,305,2024-06-07 03:00:00,3,17,2,4270,1,0,5790,1,Low,True,False,-0.3848432272754847
34,Female,50,249,31-50,〜1年,766,2024-08-02 10:09:00,26,20,1,1520,0,0,5790,1,Low,True,False,-1.3751757730178544
35,Male,57,382,51-65,1年〜2年,560,2024-07-08 06:23:00,41,17,2,2130,1,0,17750,3,Low,False,True,-1.1555020083259107
35,Male,57,382,51-65,1年〜2年,814,2024-08-08 06:50:00,28,2,4,2160,1,1,17750,3,high,False,True,-1.1446983805541757
35,Male,57,382,51-65,1年〜2年,863,2024-08-14 06:27:00,13,9,2,8520,1,0,17750,3,Low,False,True,1.145670707053632
35,Male,57,382,51-65,1年〜2年,872,2024-08-15 08:50:00,48,17,2,4940,1,0,17750,3,Low,False,True,-0.14356220704007103
36,Female,19,67,-30,〜1年,37,2024-05-05 09:30:00,4,18,4,2430,1,1,10300,2,high,True,False,-1.047465730608561
36,Female,19,67,-30,〜1年,108,2024-05-14 01:36:00,37,18,4,2240,1,1,10300,2,high,True,False,-1.1158887064962157
36,Female,19,67,-30,〜1年,143,2024-05-18 08:11:00,22,18,1,3580,1,0,10300,2,Low,True,False,-0.6333266660253883
36,Female,19,67,-30,〜1年,583,2024-07-11 01:48:00,41,9,1,2050,1,0,10300,2,Low,True,False,-1.1843116823838704
37,Male,54,1032,51-65,2年〜,929,2024-08-22 07:54:00,17,8,3,6660,1,1,6660,1,Medium,False,True,0.47584578520606563
38,Male,55,1967,51-65,2年〜,171,2024-05-21 18:15:00,12,2,3,1400,0,1,25660,4,Medium,False,True,-1.4183902841047942
38,Male,55,1967,51-65,2年〜,364,2024-06-14 07:55:00,22,4,3,6950,1,1,25660,4,Medium,False,True,0.5802808536661701
38,Male,55,1967,51-65,2年〜,493,2024-06-30 02:01:00,24,3,2,8130,1,0,25660,4,Low,False,True,1.0052235460210779
38,Male,55,1967,51-65,2年〜,810,2024-08-07 19:07:00,19,19,1,3490,1,0,25660,4,Low,False,True,-0.6657375493405933
38,Male,55,1967,51-65,2年〜,885,2024-08-16 22:56:00,10,16,3,5690,1,1,25660,4,Medium,False,True,0.1265284872533025
39,Male,75,725,66-,2年〜,32,2024-05-04 18:51:00,39,2,3,4220,1,1,15310,2,Medium,False,True,-0.40284927356170963
39,Male,75,725,66-,2年〜,408,2024-06-19 16:53:00,43,12,1,690,0,0,15310,2,Low,False,True,-1.6740761413691878
39,Male,75,725,66-,2年〜,799,2024-08-06 10:52:00,4,8,2,3890,1,0,15310,2,Low,False,True,-0.521689179050794
39,Male,75,725,66-,2年〜,936,2024-08-23 04:25:00,17,8,1,3280,1,0,15310,2,Low,False,True,-0.7413629437427378
39,Male,75,725,66-,2年〜,982,2024-08-28 19:14:00,23,15,1,3230,1,0,15310,2,Low,False,True,-0.7593689900289627
40,Male,61,279,51-65,〜1年,262,2024-06-01 20:58:00,9,14,1,2460,1,0,3870,1,Low,False,True,-1.0366621028368261
40,Male,61,279,51-65,〜1年,712,2024-07-26 19:53:00,37,10,3,1410,0,1,3870,1,Medium,False,True,-1.4147890748475491
41,Male,52,1227,51-65,2年〜,767,2024-08-02 13:05:00,45,10,1,5130,1,0,18840,3,Low,False,True,-0.07513923115241639
41,Male,52,1227,51-65,2年〜,847,2024-08-12 07:34:00,7,12,1,5130,1,0,18840,3,Low,False,True,-0.07513923115241639
41,Male,52,1227,51-65,2年〜,930,2024-08-22 10:50:00,49,19,1,3440,1,0,18840,3,Low,False,True,-0.6837435956268181
41,Male,52,1227,51-65,2年〜,935,2024-08-23 01:29:00,1,13,2,610,0,0,18840,3,Low,False,True,-1.7028858154271476
41,Male,52,1227,51-65,2年〜,972,2024-08-27 13:56:00,19,15,1,4530,1,0,18840,3,Low,False,True,-0.2912117865871152
42,Female,63,1792,51-65,2年〜,94,2024-05-12 08:34:00,4,4,4,2880,1,1,30480,4,high,True,False,-0.885411314032537
42,Female,63,1792,51-65,2年〜,104,2024-05-13 13:53:00,48,16,4,640,0,1,30480,4,high,True,False,-1.6920821876554126
42,Female,63,1792,51-65,2年〜,192,2024-05-24 07:48:00,14,6,3,3780,1,1,30480,4,Medium,True,False,-0.5613024808804887
42,Female,63,1792,51-65,2年〜,314,2024-06-08 05:22:00,17,3,1,7300,1,0,30480,4,Low,True,False,0.7063231776697444
42,Female,63,1792,51-65,2年〜,316,2024-06-08 11:14:00,30,11,3,3650,1,1,30480,4,Medium,True,False,-0.6081182012246735
42,Female,63,1792,51-65,2年〜,685,2024-07-23 12:45:00,16,8,1,5660,1,0,30480,4,Low,True,False,0.11572485948156758
42,Female,63,1792,51-65,2年〜,706,2024-07-26 02:18:00,22,6,4,6570,1,1,30480,4,high,True,False,0.4434349018908608
43,Female,30,919,-30,2年〜,237,2024-05-29 19:41:00,30,17,3,9630,1,1,32780,4,Medium,True,False,1.545404934607825
43,Female,30,919,-30,2年〜,347,2024-06-12 06:06:00,12,4,3,9150,1,1,32780,4,Medium,True,False,1.3725468902600657
43,Female,30,919,-30,2年〜,634,2024-07-17 07:16:00,18,18,3,9710,1,1,32780,4,Medium,True,False,1.5742146086657847
43,Female,30,919,-30,2年〜,921,2024-08-21 08:27:00,41,5,2,4290,1,0,32780,4,Low,True,False,-0.37764080876099476
44,Female,80,1480,66-,2年〜,435,2024-06-23 00:01:00,47,15,3,1640,0,1,16980,2,Medium,True,False,-1.3319612619309147
44,Female,80,1480,66-,2年〜,596,2024-07-12 15:54:00,8,12,3,7740,1,1,16980,2,Medium,True,False,0.8647763849885236
44,Female,80,1480,66-,2年〜,683,2024-07-23 06:53:00,43,7,1,7600,1,0,16980,2,Low,True,False,0.8143594553870939
45,Female,46,619,31-50,1年〜2年,942,2024-08-23 22:00:00,32,12,2,4870,1,0,4870,1,Low,True,False,-0.1687706718407859
46,Male,34,1994,31-50,2年〜,809,2024-08-07 16:11:00,48,3,4,5130,1,1,9580,1,high,False,True,-0.07513923115241639
46,Male,34,1994,31-50,2年〜,941,2024-08-23 19:04:00,32,20,4,4450,1,1,9580,1,high,False,True,-0.3200214606450751
47,Female,74,1609,66-,2年〜,42,2024-05-06 00:10:00,20,12,1,3060,1,0,30710,4,Low,True,False,-0.8205895474021274
47,Female,74,1609,66-,2年〜,541,2024-07-05 22:42:00,36,17,4,2470,1,1,30710,4,high,True,False,-1.0330608935795813
47,Female,74,1609,66-,2年〜,543,2024-07-06 04:33:00,7,14,1,5050,1,0,30710,4,Low,True,False,-0.10394890521037624
47,Female,74,1609,66-,2年〜,702,2024-07-25 14:34:00,24,3,2,7560,1,0,30710,4,Low,True,False,0.7999546183581139
47,Female,74,1609,66-,2年〜,782,2024-08-04 09:03:00,4,12,2,6790,1,0,30710,4,Low,True,False,0.5226615055502504
47,Female,74,1609,66-,2年〜,878,2024-08-16 02:25:00,21,15,2,5780,1,0,30710,4,Low,True,False,0.15893937056850735
48,Female,62,893,51-65,2年〜,325,2024-06-09 13:37:00,23,9,4,7520,1,1,7520,1,high,True,False,0.785549781329134
49,Male,29,1100,-30,2年〜,58,2024-05-07 23:03:00,8,20,1,6070,1,0,55220,4,Low,False,True,0.2633744390286118
49,Male,29,1100,-30,2年〜,74,2024-05-09 21:57:00,45,9,2,8230,1,0,55220,4,Low,False,True,1.0412356385935275
49,Male,29,1100,-30,2年〜,117,2024-05-15 03:59:00,42,17,3,8780,1,1,55220,4,Medium,False,True,1.2393021477420014
49,Male,29,1100,-30,2年〜,191,2024-05-24 04:52:00,17,14,3,6800,1,1,55220,4,Medium,False,True,0.5262627148074954
49,Male,29,1100,-30,2年〜,370,2024-06-15 01:30:00,8,17,1,8470,1,0,55220,4,Low,False,True,1.1276646607674072
49,Male,29,1100,-30,2年〜,562,2024-07-08 12:15:00,34,2,3,1500,0,1,55220,4,Medium,False,True,-1.3823781915323443
49,Male,29,1100,-30,2年〜,661,2024-07-20 14:24:00,41,10,1,7590,1,0,55220,4,Low,False,True,0.8107582461298488
49,Male,29,1100,-30,2年〜,918,2024-08-20 23:39:00,39,11,2,5250,1,0,55220,4,Low,False,True,-0.03192472006547662
49,Male,29,1100,-30,2年〜,998,2024-08-30 18:08:00,12,11,4,2530,1,1,55220,4,high,False,True,-1.0114536380361114
50,Female,59,1100,51-65,2年〜,62,2024-05-08 10:47:00,38,3,4,6490,1,1,27630,4,high,True,False,0.41462522783290096
50,Female,59,1100,51-65,2年〜,126,2024-05-16 06:21:00,44,17,1,5860,1,0,27630,4,Low,True,False,0.1877490446264672
50,Female,59,1100,51-65,2年〜,432,2024-06-22 15:13:00,28,10,4,690,0,1,27630,4,high,True,False,-1.6740761413691878
50,Female,59,1100,51-65,2年〜,551,2024-07-07 04:00:00,23,12,1,8040,1,0,27630,4,Low,True,False,0.972812662705873
50,Female,59,1100,51-65,2年〜,866,2024-08-14 15:15:00,30,10,3,6550,1,1,27630,4,Medium,True,False,0.4362324833763709
51,Male,72,1280,66-,2年〜,8,2024-05-01 20:30:00,18,1,4,5510,1,1,17860,3,high,False,True,0.061706720622892876
51,Male,72,1280,66-,2年〜,359,2024-06-13 17:16:00,49,3,1,3470,1,0,17860,3,Low,False,True,-0.6729399678550831
51,Male,72,1280,66-,2年〜,558,2024-07-08 00:31:00,3,2,4,4120,1,1,17860,3,high,False,True,-0.43886136613415944
51,Male,72,1280,66-,2年〜,979,2024-08-28 10:27:00,31,5,3,4760,1,1,17860,3,Medium,False,True,-0.20838397367048067
52,Male,41,727,31-50,2年〜,14,2024-05-02 14:06:00,30,2,1,8650,1,0,18060,3,Low,False,True,1.1924864273978169
52,Male,41,727,31-50,2年〜,306,2024-06-07 05:56:00,8,3,2,9410,1,0,18060,3,Low,False,True,1.4661783309484353
54,Male,40,518,31-50,1年〜2年,470,2024-06-27 06:36:00,3,10,3,7730,1,1,7730,1,Medium,False,True,0.8611751757312786
55,Female,37,11,31-50,〜1年,149,2024-05-19 01:46:00,8,4,2,3280,1,0,11890,2,Low,True,False,-0.7413629437427378
55,Female,37,11,31-50,〜1年,508,2024-07-01 21:58:00,29,14,4,6170,1,1,11890,2,high,True,False,0.2993865316010616
55,Female,37,11,31-50,〜1年,701,2024-07-25 11:39:00,20,3,3,2440,1,1,11890,2,Medium,True,False,-1.0438645213513162
56,Female,27,102,-30,〜1年,249,2024-05-31 06:52:00,7,13,4,8300,1,1,8300,1,high,True,False,1.0664441033942424
57,Female,31,1720,31-50,2年〜,496,2024-06-30 10:48:00,17,10,4,2850,1,1,13370,2,high,True,False,-0.896214941804272
57,Female,31,1720,31-50,2年〜,579,2024-07-10 14:04:00,15,16,2,2110,1,0,13370,2,Low,True,False,-1.1627044268404005
57,Female,31,1720,31-50,2年〜,647,2024-07-18 21:22:00,45,17,3,8410,1,1,13370,2,Medium,True,False,1.1060574052239374
58,Male,51,325,51-65,〜1年,129,2024-05-16 15:09:00,4,15,4,4150,1,1,8640,1,high,False,True,-0.4280577383624245
58,Male,51,325,51-65,〜1年,677,2024-07-22 13:18:00,6,19,3,4490,1,1,8640,1,Medium,False,True,-0.30561662361609515
59,Female,18,161,-30,〜1年,656,2024-07-19 23:45:00,11,19,2,7730,1,0,11690,2,Low,True,False,0.8611751757312786
59,Female,18,161,-30,〜1年,737,2024-07-29 21:09:00,34,8,3,3230,1,1,11690,2,Medium,True,False,-0.7593689900289627
59,Female,18,161,-30,〜1年,933,2024-08-22 19:37:00,47,12,2,730,0,0,11690,2,Low,True,False,-1.6596713043402078
60,Female,46,1665,31-50,2年〜,66,2024-05-08 22:30:00,49,3,2,5790,1,0,35140,4,Low,True,False,0.16254057982575232
60,Female,46,1665,31-50,2年〜,240,2024-05-30 04:29:00,35,3,3,3280,1,1,35140,4,Medium,True,False,-0.7413629437427378
60,Female,46,1665,31-50,2年〜,324,2024-06-09 10:41:00,17,19,2,7890,1,0,35140,4,Low,True,False,0.9187945238471983
60,Female,46,1665,31-50,2年〜,516,2024-07-02 21:25:00,28,17,2,8910,1,0,35140,4,Low,True,False,1.2861178680861862
60,Female,46,1665,31-50,2年〜,752,2024-07-31 17:07:00,27,7,2,9270,1,0,35140,4,Low,True,False,1.4157614013470057
61,Female,54,1879,51-65,2年〜,549,2024-07-06 22:09:00,8,11,3,9930,1,1,34230,4,Medium,True,False,1.6534412123251743
61,Female,54,1879,51-65,2年〜,631,2024-07-16 22:29:00,6,4,4,4970,1,1,34230,4,high,True,False,-0.1327585792683361
61,Female,54,1879,51-65,2年〜,632,2024-07-17 01:25:00,38,5,3,9580,1,1,34230,4,Medium,True,False,1.5273988883216
61,Female,54,1879,51-65,2年〜,903,2024-08-19 03:41:00,1,11,2,9750,1,0,34230,4,Low,True,False,1.5886194456947647
62,Female,50,1600,31-50,2年〜,272,2024-06-03 02:16:00,14,7,2,1070,0,0,11360,2,Low,True,False,-1.5372301895938785
62,Female,50,1600,31-50,2年〜,282,2024-06-04 07:35:00,13,19,1,1000,0,0,11360,2,Low,True,False,-1.5624386543945934
62,Female,50,1600,31-50,2年〜,860,2024-08-13 21:40:00,47,2,1,5360,1,0,11360,2,Low,True,False,0.007688581764218164
62,Female,50,1600,31-50,2年〜,997,2024-08-30 15:12:00,49,19,3,3930,1,1,11360,2,Medium,True,False,-0.507284342021814
63,Male,42,1094,31-50,2年〜,269,2024-06-02 17:29:00,9,10,3,600,0,1,8010,1,Medium,False,True,-1.7064870246843926
63,Male,42,1094,31-50,2年〜,728,2024-07-28 18:47:00,29,20,4,1800,0,1,8010,1,high,False,True,-1.274341913814995
63,Male,42,1094,31-50,2年〜,831,2024-08-10 08:40:00,24,13,3,5610,1,1,8010,1,Medium,False,True,0.09771881319534267
64,Male,76,1188,66-,2年〜,865,2024-08-14 12:19:00,50,8,1,9870,1,0,9870,2,Low,False,True,1.6318339567817044
65,Male,27,915,-30,2年〜,289,2024-06-05 04:06:00,16,18,4,3080,1,1,16070,2,high,False,True,-0.8133871288876374
65,Male,27,915,-30,2年〜,642,2024-07-18 06:43:00,30,8,3,3990,1,1,16070,2,Medium,False,True,-0.4856770864783442
65,Male,27,915,-30,2年〜,874,2024-08-15 14:42:00,36,3,3,9000,1,1,16070,2,Medium,False,True,1.318528751401391
66,Female,61,1167,51-65,2年〜,178,2024-05-22 14:46:00,44,5,2,1570,0,0,32650,4,Low,True,False,-1.3571697267316294
